Method,Top_K,RRF_K,Model,Recall,NDCG,MRR,Time_Taken_Sec,Time_Dense,Time_Sparse,Time_RRF,Time_Colbert,Time_CrossEncoder
with_titles,30,80,dense,0.5876,0.4266,0.3789,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,80,sparse,0.5846,0.4225,0.3747,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,80,rrf,0.6226,0.4607,0.4123,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,80,colbert,0.6376,0.5087,0.4694,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,80,cross_encoder,0.6507,0.5669,0.5419,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,100,dense,0.5876,0.4266,0.3789,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,100,sparse,0.5846,0.4225,0.3747,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,100,rrf,0.6226,0.4607,0.4123,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,100,colbert,0.6376,0.5087,0.4694,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,100,cross_encoder,0.6507,0.5669,0.5419,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,150,dense,0.5876,0.4266,0.3789,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,150,sparse,0.5846,0.4225,0.3747,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,150,rrf,0.6226,0.4607,0.4123,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,150,colbert,0.6376,0.5087,0.4694,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,150,cross_encoder,0.6507,0.5669,0.5419,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,300,dense,0.5876,0.4266,0.3789,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,300,sparse,0.5846,0.4225,0.3747,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,300,rrf,0.6226,0.4607,0.4123,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,300,colbert,0.6376,0.5087,0.4694,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,300,cross_encoder,0.6507,0.5669,0.5419,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,10,dense,0.6076,0.4304,0.3794,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,10,sparse,0.6086,0.427,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,10,rrf,0.6486,0.4664,0.4135,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,10,colbert,0.6547,0.5118,0.4698,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,10,cross_encoder,0.6547,0.5677,0.542,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,20,dense,0.6076,0.4304,0.3794,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,20,sparse,0.6086,0.427,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,20,rrf,0.6486,0.4664,0.4138,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,20,colbert,0.6547,0.5118,0.4698,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,20,cross_encoder,0.6547,0.5677,0.542,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,60,dense,0.6076,0.4304,0.3794,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,60,sparse,0.6086,0.427,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,60,rrf,0.6486,0.4658,0.4132,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,60,colbert,0.6547,0.5118,0.4698,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,60,cross_encoder,0.6547,0.5677,0.542,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,80,dense,0.6076,0.4304,0.3794,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,80,sparse,0.6086,0.427,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,80,rrf,0.6486,0.4657,0.4132,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,80,colbert,0.6547,0.5118,0.4698,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,80,cross_encoder,0.6547,0.5677,0.542,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,100,dense,0.6076,0.4304,0.3794,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,100,sparse,0.6086,0.427,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,100,rrf,0.6486,0.4657,0.4131,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,100,colbert,0.6547,0.5118,0.4698,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,100,cross_encoder,0.6547,0.5677,0.542,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,150,dense,0.6076,0.4304,0.3794,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,150,sparse,0.6086,0.427,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,150,rrf,0.6486,0.4656,0.4131,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,150,colbert,0.6547,0.5118,0.4698,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,150,cross_encoder,0.6547,0.5677,0.542,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,300,dense,0.6076,0.4304,0.3794,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,300,sparse,0.6086,0.427,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,300,rrf,0.6486,0.4656,0.413,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,300,colbert,0.6547,0.5118,0.4698,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,50,300,cross_encoder,0.6547,0.5677,0.542,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,10,dense,0.6306,0.4342,0.3798,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,10,sparse,0.6276,0.4302,0.3756,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,10,rrf,0.6577,0.4684,0.4141,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,10,colbert,0.6577,0.5123,0.4699,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,10,cross_encoder,0.6577,0.5682,0.5421,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,20,dense,0.6306,0.4342,0.3798,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,20,sparse,0.6276,0.4302,0.3756,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,20,rrf,0.6577,0.4697,0.4159,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,20,colbert,0.6577,0.5123,0.4699,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,20,cross_encoder,0.6577,0.5682,0.5421,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,60,dense,0.6306,0.4342,0.3798,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,60,sparse,0.6276,0.4302,0.3756,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,60,rrf,0.6577,0.467,0.4132,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,60,colbert,0.6577,0.5123,0.4699,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,80,60,cross_encoder,0.6577,0.5682,0.5421,1365.39,5.64,77.3,0.23,613.18,557.42
